Timestamp,WardenPlayers,ColonialPlayers,WardenCaptures,ColonialCaptures,WardenCasualties,ColonialCasualties,WardenCasualtyRate,WardenCasualtyRateHr,ColonialCasualtyRate,ColonialCasualtyRateHr,SteamPlayers,WardenPlayHours,ColonialPlayHours,WardenQueued,ColonialQueued,WardenPlayersMore,ColonialPlayersMore,WardenQueueWarning,ColonialQueueWarning
2021-02-09 09:13:01,183,182,89,104,1,0,0,0/hr,0,0/hr,419,0,0,0,0,1,0,0,0
2021-02-09 09:43:01,222,258,116,119,410,456,188,188/hr,193,193/hr,518,111,129,0,2,0,36,0,1
2021-02-09 10:13:01,250,276,119,126,828,986,862,862/hr,1034,1034/hr,570,236,267,1,1,0,26,0,0
2021-02-09 10:43:01,239,263,120,126,1198,1402,786,786/hr,941,941/hr,551,355,398,0,5,0,24,0,0
2021-02-09 11:13:01,222,260,120,127,1562,1836,734,734/hr,850,850/hr,534,466,528,0,3,0,38,0,1
2021-02-09 11:43:01,221,235,123,127,1915,2150,719,719/hr,750,750/hr,512,577,646,0,0,0,14,0,0
2021-02-09 12:13:01,210,226,122,128,2292,2569,738,738/hr,739,739/hr,501,682,759,0,0,0,16,0,0
2021-02-09 12:43:01,209,229,123,128,2707,3057,792,792/hr,907,907/hr,488,786,873,1,1,0,20,0,0
2021-02-09 13:13:01,201,252,123,128,3225,3671,981,981/hr,1160,1160/hr,492,887,999,0,2,0,51,0,1
2021-02-09 13:43:01,207,238,123,128,3704,4330,997,997/hr,1273,1273/hr,490,990,1118,1,3,0,31,0,0
2021-02-09 14:13:01,195,225,122,129,4289,5048,1064,1064/hr,1377,1377/hr,463,1088,1231,0,1,0,30,0,1
2021-02-09 14:43:01,182,222,122,128,4847,5741,1143,1143/hr,1411,1411/hr,441,1179,1342,0,2,0,40,0,1
2021-02-09 15:13:01,160,189,122,128,5308,6354,965,965/hr,1293,1293/hr,356,1259,1436,1,7,0,29,0,1
2021-02-09 15:43:01,153,191,122,128,5746,6859,887,887/hr,1087,1087/hr,380,1335,1532,0,5,0,38,0,1
2021-02-09 16:13:01,150,184,121,129,6142,7416,834,834/hr,1062,1062/hr,369,1410,1624,0,5,0,34,0,1
2021-02-09 16:43:01,149,184,120,131,6514,7997,768,768/hr,1138,1138/hr,375,1485,1716,1,5,0,35,0,1
2021-02-09 17:13:01,147,158,120,131,6834,8433,693,693/hr,1019,1019/hr,346,1558,1795,0,2,0,11,0,0
2021-02-09 17:43:01,128,165,120,131,7280,8872,766,766/hr,875,875/hr,327,1622,1877,0,4,0,37,0,1
2021-02-09 18:13:01,140,162,119,132,7746,9278,913,913/hr,845,845/hr,340,1692,1958,0,5,0,22,0,1
2021-02-09 18:43:01,128,162,119,132,8138,9593,858,858/hr,721,721/hr,334,1756,2039,0,1,0,34,0,1
2021-02-09 19:13:01,118,152,119,132,8418,9871,672,672/hr,593,593/hr,327,1815,2115,0,14,0,34,0,1
2021-02-09 19:43:01,132,158,119,132,8783,10215,654,654/hr,629,629/hr,334,1881,2194,0,4,0,26,0,1
2021-02-09 20:13:01,115,147,119,132,9218,10604,800,800/hr,733,733/hr,305,1939,2268,0,4,0,32,0,1
2021-02-09 20:43:01,114,142,119,132,9557,10949,774,774/hr,734,734/hr,295,1996,2339,0,2,0,28,0,1
2021-02-09 21:13:01,111,136,119,132,9858,11236,641,641/hr,633,633/hr,292,2051,2407,0,3,0,25,0,1
2021-02-09 21:43:01,107,133,119,132,10109,11479,552,552/hr,530,530/hr,275,2105,2473,0,4,0,26,0,1
2021-02-09 22:13:01,99,121,119,132,10418,11698,561,561/hr,464,464/hr,248,2154,2534,0,1,0,22,0,1
2021-02-09 22:43:01,96,127,119,132,10717,11914,608,608/hr,435,435/hr,247,2202,2597,0,0,0,31,0,1
2021-02-09 23:13:01,81,115,119,132,10961,12146,546,546/hr,450,450/hr,240,2243,2655,0,9,0,34,0,1
2021-02-09 23:43:01,90,114,116,133,11241,12414,524,524/hr,500,500/hr,248,2288,2712,0,1,0,24,0,1
2021-02-10 00:13:01,87,106,116,134,11505,12644,548,548/hr,499,499/hr,235,2331,2765,0,0,0,19,0,1
2021-02-10 00:43:01,85,108,116,134,11678,12829,437,437/hr,415,415/hr,239,2374,2819,0,0,0,23,0,1
2021-02-10 01:13:01,99,107,116,134,11829,13014,326,326/hr,374,374/hr,241,2423,2872,0,0,0,8,0,0
2021-02-10 01:43:01,84,120,116,134,12021,13222,343,343/hr,393,393/hr,243,2465,2932,0,4,0,36,0,1
2021-02-10 02:13:01,86,120,116,134,12241,13496,411,411/hr,483,483/hr,252,2508,2992,0,9,0,34,0,1
2021-02-10 02:43:02,88,115,116,134,12422,13715,388,388/hr,463,463/hr,243,2552,3050,0,0,0,27,0,1
2021-02-10 03:13:02,99,117,116,134,12598,13966,347,347/hr,469,469/hr,244,2602,3108,0,0,0,18,0,1
2021-02-10 03:44:01,105,125,116,134,12821,14269,400,400/hr,557,557/hr,268,2656,3173,0,0,0,20,0,1
2021-02-10 04:14:01,98,118,115,135,13021,14533,428,428/hr,568,568/hr,259,2705,3232,0,0,0,20,0,1
2021-02-10 04:44:01,113,122,115,135,13238,14759,432,432/hr,501,501/hr,277,2761,3293,0,0,0,9,0,0
2021-02-10 05:14:01,114,130,115,135,13405,14986,370,370/hr,439,439/hr,289,2818,3358,0,0,0,16,0,0
2021-02-10 05:44:02,110,136,115,135,13573,15219,335,335/hr,460,460/hr,283,2873,3426,0,1,0,26,0,1
2021-02-10 06:15:01,116,134,115,135,13784,15392,381,381/hr,407,407/hr,291,2933,3495,0,3,0,18,0,1
2021-02-10 06:45:02,146,152,115,135,13955,15596,382,382/hr,377,377/hr,340,3006,3571,0,0,0,6,0,0
2021-02-10 07:16:01,139,168,114,135,14213,15843,429,429/hr,453,453/hr,358,3078,3658,0,0,0,29,0,1
2021-02-10 07:46:01,149,176,114,136,14453,16043,498,498/hr,447,447/hr,374,3152,3746,0,1,0,27,0,1
2021-02-10 08:16:01,166,185,114,136,14702,16272,489,489/hr,429,429/hr,393,3235,3838,0,3,0,19,0,0
2021-02-10 08:46:01,172,196,114,136,14982,16577,529,529/hr,534,534/hr,422,3321,3936,1,7,0,24,0,0
2021-02-10 09:16:01,160,190,114,136,15324,16924,623,623/hr,652,652/hr,413,3401,4031,0,15,0,30,0,1
2021-02-10 09:46:01,157,188,114,136,15643,17276,661,661/hr,699,699/hr,407,3480,4125,0,17,0,31,0,1
2021-02-10 10:16:01,161,199,113,137,16069,17833,745,745/hr,910,910/hr,438,3560,4225,0,33,0,38,0,1
2021-02-10 10:46:01,171,210,113,136,16437,18307,794,794/hr,1031,1031/hr,425,3646,4330,0,15,0,39,0,1
2021-02-10 11:16:01,176,213,113,137,16772,18667,674,674/hr,785,785/hr,440,3734,4436,0,5,0,37,0,1
2021-02-10 11:46:01,163,194,112,137,17166,19015,752,752/hr,702,702/hr,411,3815,4533,0,4,0,31,0,1
2021-02-10 12:16:01,179,202,112,138,17626,19355,865,865/hr,698,698/hr,430,3905,4634,0,4,0,23,0,0
2021-02-10 12:46:01,190,213,111,138,18075,19853,941,941/hr,859,859/hr,447,4000,4741,0,3,0,23,0,0
2021-02-10 13:16:01,181,206,111,139,18541,20309,915,915/hr,955,955/hr,436,4090,4844,0,2,0,25,0,0
2021-02-10 13:46:01,173,188,109,140,18976,20680,908,908/hr,833,833/hr,412,4177,4938,0,3,0,15,0,0
2021-02-10 14:16:02,160,181,108,141,19371,21110,816,816/hr,800,800/hr,387,4257,5028,0,5,0,21,0,0
2021-02-10 14:47:01,166,167,107,141,19743,21470,767,767/hr,790,790/hr,382,4343,5114,0,7,0,1,0,0
2021-02-10 15:17:01,165,162,107,141,20048,21835,681,681/hr,725,725/hr,373,4425,5195,0,6,3,0,0,0
2021-02-10 15:47:01,158,146,106,142,20312,22086,569,569/hr,616,616/hr,348,4504,5268,0,3,12,0,0,0
2021-02-10 16:17:01,138,149,106,142,20552,22334,503,503/hr,500,500/hr,347,4573,5343,0,2,0,11,0,0
2021-02-10 16:47:01,137,144,106,142,20873,22607,571,571/hr,528,528/hr,330,4642,5415,0,2,0,7,0,0
2021-02-10 17:17:01,137,153,106,142,21175,22879,625,625/hr,542,542/hr,338,4710,5491,0,0,0,16,0,0
2021-02-10 17:47:01,143,145,106,142,21504,23114,631,631/hr,507,507/hr,0,4782,5564,0,0,0,2,0,0
2021-02-10 18:17:01,155,157,106,142,21860,23363,685,685/hr,484,484/hr,351,4859,5642,0,0,0,2,0,0
2021-02-10 18:47:01,152,153,106,142,22244,23656,745,745/hr,542,542/hr,348,4935,5719,0,1,0,1,0,0
2021-02-10 19:17:01,158,147,106,142,22584,24021,724,724/hr,655,655/hr,352,5014,5792,0,0,11,0,0,0
2021-02-10 19:47:01,133,134,106,142,22942,24324,673,673/hr,652,652/hr,306,5081,5859,0,0,0,1,0,0
2021-02-10 20:17:01,128,124,106,142,23246,24617,667,667/hr,597,597/hr,289,5145,5921,0,0,4,0,0,0
2021-02-10 20:47:01,120,118,106,142,23503,24882,566,566/hr,559,559/hr,278,5205,5980,0,0,2,0,0,0
2021-02-10 21:17:01,117,117,106,142,23704,25106,443,443/hr,482,482/hr,267,5263,6039,0,0,0,0,0,0
2021-02-10 21:47:01,123,108,106,142,23949,25350,420,420/hr,453,453/hr,259,5325,6093,0,0,15,0,0,0
2021-02-10 22:17:01,110,104,106,142,24222,25581,518,518/hr,475,475/hr,241,5380,6145,0,1,6,0,0,0
2021-02-10 22:47:01,111,91,106,142,24477,25775,548,548/hr,439,439/hr,234,5435,6190,0,0,20,0,1,0
2021-02-10 23:17:01,109,92,106,142,24784,25957,564,564/hr,373,373/hr,230,5490,6236,0,0,17,0,1,0
2021-02-10 23:47:01,100,100,106,142,25057,26143,580,580/hr,368,368/hr,234,5540,6286,0,0,0,0,0,0
2021-02-11 00:17:01,92,105,106,142,25314,26327,527,527/hr,370,370/hr,227,5586,6339,0,0,0,13,0,0
2021-02-11 00:47:01,74,99,106,141,25531,26458,444,444/hr,275,275/hr,226,5623,6388,0,10,0,25,0,1
2021-02-11 01:17:01,79,106,106,142,25754,26552,440,440/hr,228,228/hr,224,5662,6441,0,7,0,27,0,1
2021-02-11 01:47:01,87,115,106,142,26003,26688,472,472/hr,231,231/hr,234,5706,6499,0,5,0,28,0,1
2021-02-11 02:17:01,86,111,106,142,26275,26876,521,521/hr,326,326/hr,240,5749,6554,0,12,0,25,0,1
2021-02-11 02:47:01,100,120,106,142,26496,27039,493,493/hr,353,353/hr,246,5799,6614,0,4,0,20,0,1
2021-02-11 03:17:02,94,109,106,141,26707,27240,447,447/hr,372,372/hr,231,5846,6669,0,1,0,15,0,1
2021-02-11 03:48:01,99,113,106,142,26878,27412,368,368/hr,371,371/hr,239,5897,6727,0,1,0,14,0,0
2021-02-11 04:18:01,93,115,106,142,27082,27586,376,376/hr,348,348/hr,226,5943,6785,0,0,0,22,0,1
2021-02-11 04:48:01,94,115,106,141,27225,27737,347,347/hr,325,325/hr,239,5990,6842,0,5,0,21,0,1
2021-02-11 05:18:01,110,131,106,141,27385,27897,304,304/hr,307,307/hr,269,6045,6908,0,4,0,21,0,1
2021-02-11 05:48:01,124,147,106,142,27582,28117,360,360/hr,382,382/hr,307,6107,6981,0,8,0,23,0,1
2021-02-11 06:18:01,128,148,106,142,27855,28343,470,470/hr,448,448/hr,311,6171,7055,0,4,0,20,0,1
2021-02-11 06:48:01,128,161,105,142,28117,28606,537,537/hr,493,493/hr,325,6235,7136,0,5,0,33,0,1
2021-02-11 07:18:01,128,159,105,142,28386,28858,525,525/hr,522,522/hr,326,6299,7215,0,4,0,31,0,1
2021-02-11 07:48:01,114,149,105,142,28712,29087,598,598/hr,481,481/hr,319,6356,7290,0,12,0,35,0,1
2021-02-11 08:18:01,117,150,105,142,29003,29330,620,620/hr,473,473/hr,311,6415,7365,0,8,0,33,0,1
2021-02-11 08:48:01,140,165,105,142,29288,29578,580,580/hr,486,486/hr,334,6485,7447,0,4,0,25,0,1
2021-02-11 09:18:01,140,172,104,143,29633,29871,613,613/hr,520,520/hr,355,6555,7533,0,12,0,32,0,1
